|Travel and travel dollar flow into and out of the United States|Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 27 cm.|[Washington, D.C.] : The Office,.|||Description based on: Dec. 1968; title from caption.|||
MICROFICHE 1702 Dec 1979 Microfiche Cabinet|Transportation and travel: official table of distances continental United States, Alaska, Hawaii, Canada, Canal Zone, Central America, Mexico, and Puerto Rico.|United States -- Distances, etc. North America -- Distances, etc.|United States. Dept. of the Army.|v. 26 cm.|[Washington Dept. of the Army.||1976- : Air Force manual.|"AR 55-60/NAVSO P2471/AFR 177-135". Microfiche. [S.n., [s.l., 19??-<Dec. 1979>. fiches. 10 x 15 cm. Vols. for <1976> issued with the departments of the Navy and the Air Force.||Official table of distances continental United States, Alaska, Hawaii, Canada, Canal Zone, Central America, Mexico, and Puerto Rico.|
No call number B(1979/0-81/2).B(1983/4); Type EXP SRLF|Annual report of the Queensland Tourist & Travel Corporation.|Queensland Tourist & Travel Corporation -- Yearnbooks.|Queensland Tourist & Travel Corporation.|v. : ill. ; 31 cm.|[Brisbane, Australia] : The Corporation, [1980?-|1980-||Report year ends June 30.|||
No call number B19N4-6(1985)B20N1-6(1986)B21-22(1987-|TravLtips.||||[Bayside, N.Y., TravLtips, inc.]|||Official publication of TravLtips Cruise and Freighter Travel Association.||Key title: TravLtips. TravLtips freighter bulletin.|
No call number PAPER:LATEST EDITION OF EACH REGULATION|Army regulation 55-.||United States. Dept. of the Army.||Washington, D.C. : Headquarters, Dept. of the Army.||||Continues: United States. War Dept. Army regulations.|Transportation and travel.|AR.
p F595 .W396 1:2(Jan/Mar 1928)|The Western traveler; a travel magazine of the great West.|West (U.S.) -- Description and travel -- Periodicals.||v. ill. 24 cm.|San Francisco, World Travel Bureau.||||||
p F869.L8 H48 .3:2(spring 1990)|Hertz travel guide : Greater Los Angeles.|Los Angeles Metropolitan Area (Calif.) -- Description and travel -- Guide-books.||v. : ill., maps ; 23 cm.|Los Angeles, Calif. : Continental Publishing Services, Inc.,.|||Description based on: Vol. 3, no. 2 (spring 1990). Title from cover.|||
pf F866 .R44 Bound 1:1(Sept 1928)-1:3(Dec 1928/Jan|Redwood empire travel-eer.|California -- Description and travel.||v. ill. 28 cm.|San Francisco, Redwood Empire Association.|v. 1- Sept. 1928-||Official periodical publication of the Redwood Empire Association.|||
present in record.|Air travel.|||1 v. ill.|New York, Airtravel Corp.|v. 1, no. 1-9; Sept. 1917-July 1918.||Issues for Mar., June 1918 not published.|||
RA644 .Y4W67 1961-|Centres de Vaccination Contre la Fievre Jaune pour les Voyages Internationaux. Yellow-fever Vaccinating Centres for International Travel.||World Health Organization.||||||||
RA783.5 .C45a 1974- Latest On Reference Handbooks,|Health information for international travel.|Vaccination -- periodicals. Travel -- periodicals. Communicable Disease Control -- periodicals. Travel -- Health aspects -- Periodicals. Vaccination -- Periodicals.||v. : ill. ; 23 cm.|Atlanta, Ga. : U.S. Dept. of Health, Education, and Welfare, Public Health Service, Center for Disease Control, Bureau of Epidemiology ; Washington, D.C. : For sale by the Supt. of Docs., U.S. G.P.O., [1974-|1974-|1980- : HHS publication ; no. (CDC). 1974-1979: DHEW publication ; no. (CDC).|Vols. for 1974-19 issued by: Center for Disease Control, Bureau of Epidemiology; 19 -1980 by: Center for Disease Control, Quarantine Division; 1981-<1990> by: Center for Prevention Services, Quarantine Division; <1992> by: Centers for Disease Control, National Center for Prevention Services, Division of Quarantine; 1993- by: Centers for Disease Control and Prevention, National Center for Prevention Services, Division of Quarantine.|Supplement to: Morbidity and mortality weekly report, 1974-1980.|Key title: Health information for international travel.|Notes
RTS1004 .A1M8 No. 1, no. 4a, no. 6, no. 8.|1981 MTC travel survey. Working paper.|Urban transportation -- California -- San Francisco Bay region.||v. ; 28 cm.|Berkeley, Calif. : Metropolitan Transportation Commission, [1981]-|No. 1 (Nov. 1981)-||Title from cover.||MTC travel survey.|
RTS809 .C32 1979-|Travel and related factors in California.|||v. 28 cm.|Sacramento, State of California, Business and Transportation Agency, Dept. of Transportation, Division of Transportation Planning, 1979-|no. 1-|||Issued also in an annual cumulation.|Effects of the current fuel shortage in California.|
See journal 1962-1970.|Western Council for Travel Research bulletin.|Tourist trade -- Periodicals.|||[Boulder, Colo. : Business Research Division, Graduate School of Business Administration, University of Colorado, -1970].|-v. 8, no. 3 (winter 1970).Began with: Vol. 1 (1962).||Description based on: Vol. 6, no. 2 (fall 1967); caption title.|Continued by: Travel research bulletin.|W.C.T.R. bulletin. Bulletin (Western Council for Travel Research). WCTR bulletin.|
See journal Library has: 1977-|Rail travel news.|||v.|Berkeley, CA : Message Media,.|Current frequency: Semimonthly.||Description based on: Vol. 17, no. 14 (Sept. 1987); title from cover. Vol. 20, no. 18 also called issue no. 426. Issues for <Sept. 1987-> also called <whole no. 363->.|Continues: Rail travel newsletter (Berkeley, Calif.).|Abbreviated title: Rail travel news. Key title: Rail travel news.|
T1075 T82a LIBRARY HAS: UNB.YR.1979|Travel and related factors in California. Annual summary.|Automobile industry and trade -- California -- Statistics. Motor fuels -- California -- Statistics. Gasoline -- California -- Statistics. Traffic accidents -- California -- Statistics. Traffic surveys -- California. Transportation -- California -- Statistics.||v. ; 28 cm.|Sacramento, Calif. : State of California, Business and Transportation Agency, Dept. of Transportation, Division of Transportation Planning, 1979-|1979-||"Prepared in cooperation with the U.S. Department of Transportation, Federal Highway Administration"--P. [2] of cover.|Supplement to: Travel and related factors in California.||
TA1057.A1 T7 Index Library has: 1987/88-|Report of the Air Travel Trust Committee.|Consumer protection -- Great Britain -- Periodicals. Air travel -- Great Britain -- Periodicals. Tourist trade and state -- Great Britain -- Periodicals. Public trustees -- Great Britain -- Periodicals.|Great Britain. Air Travel Trust Committee.|v. ; 30 cm.|London : Published on behalf of the Air Travel Trust Committee by Civil Aviation Authority,.|||Description based on: 1987/88. Report year ends Mar. 31. Microfiche. Cambridge, England : Chadwyck-Healey Ltd., 1988- . microfiches : negative ; 11 x 15 cm. (British official publications not published by HMSO).|||
TL725.A1 A45 BOUND summer 1967(9:2); AT NRLF: All|Quick reference travel planner.|||3 v. ill.|Oak Brook, Ill., R.H. Donnelley.|v. 9-11; Spring 1967-Winter 1969.|||Continues: OAG travel planner. Continued by: Travel planner.|OAG quick reference travel planner.|
TL726.4.N7 A5 Fall/Winter 1992/93-|Airport guide : a professional travel planner's reference : JFK, EWR, LGA|Airports -- New York Metropolitan Area -- Periodicals. John F. Kennedy International Airport (N.Y.). Newark International Airport (N.J.). La Guardia Airport (N.Y.).|Port Authority of New York and New Jersey. Aviation Dept. Customer and Marketing Services.|v. : ill., maps, charts ; 28 cm.|New York, NY : Customer and Marketing Services, Aviation Dept., Port Authority of New York and New Jersey, 1992-|Fall/Winter 1992/93-|||Continues: New York/New Jersey gateway guide.|Professional travel planner's reference : JFK, EWR, LGA. JFK, EWR, LGA.|
TR 1 U52 33 (1970-JAN1971) CONTINUES U.S.CAMERA|Travel & camera.|Photography -- Periodicals. Travel -- Periodicals.||2 v. : ill. ; 28 cm.|New York, N.Y. : U.S. Camera Pub. Corp., c1969-c1970.|Vol. 32, no. 2 (Feb. 1969)-v. 33, no. 12 (Dec.-Jan. 1970-71).||Title from cover.|Continues: U.S. camera & travel. Continued by: Travel & leisure.|Abbreviated title: Travel camera (1969). Key title: Travel & camera (1969). Travel and camera.|
TR 790 P49 B(1992) Stacks|Photography & travel workshop directory.|Travel photography -- Study and teaching -- Directories. Photography -- Study and teaching -- Directories. Workshops (Adult education) -- Directories.||v. : ill. ; 28 cm.|Santa Barbara, Calif. : Serbin Communications,.|Current frequency: Annual.||Description based on: 1990; title from cover. Compiled by the editors of Photographer's forum.||Abbreviated title: Photogr. travel workshop dir. Key title: Photography & travel workshop directory. Photography and travel workshop directory.|
TR1 .U52 Arts v.1:no.1-4,6,9-10 (1939/1940)|Travel & camera.|Photography -- Periodicals. Travel -- Periodicals.||33 v. ill. 34 cm.|New York, U.S. Camera Pub. Corp.|v. 1-33; 1938-Jan. 1971.|||Title varies: U.S. camera & travel. v.27-32, no.1, 1964-Jan. 1969. Title varies: U.S. camera. v.1-26, 1935-1963. Continued by: Travel & leisure.|Travel and camera.|
Uncataloged Govt Pub 1962/63+|Report of Passenger Travel Between the United States and Foreign Countries, by United States and Foreign Flag of Carrier.||||||||||
Uncataloged Govt Pub 1964|Report of Passenger Travel Between the United States and Foreign Countries.||||||||||
Uncataloged Govt Pub 1964+|Plant tours for international visitors to the United States.||||Washington, U.S. Travel Service.||||Continued by: United States Travel Service. USA plant visits.|Abbreviated title: Plant tour int. visit U.S. Key title: Plant tours for international visitors to the United States.|
Uncataloged Govt Pub 1979+|Travel and Related Factors in California. Annual Summary.||||||||||
UNCATALOGED July 10, l981-|Weekly Summary of Health Information for International Travel.||||Atlanta, Ga.||||Continues: Center for Disease Control. Bureau of Epidemiology. Weekly summary; countries with areas infected with quarantinable diseases.||
W1 TR497 v.2, no.1, Spring 1984.|Travel and traffic medicine international.|Travel -- periodicals. Preventive Medicine -- periodicals. Accidents, Traffic -- periodicals.||2 v. : ill.|[London : Edsall, -c1984.|Began with: 1, 1 (summer 1983).-2, 1 (spring 1984).||Description based on: 1, 2 (autumn 1983). At head of title: Air road rail sea.|Continued by: Travel medicine international.|Abbreviated title: Travel traffic med. int. Key title: Travel and traffic medicine international. Air road rail sea.|
WA110 T72 Reference 1993.|Travel and routine immunizations : a practical guide for the medical office.|Communicable Disease Control -- periodicals. Travel -- periodicals. Immunization -- periodicals.|||Milwaukiee, Wis. : Shoreland Medical Marketing, Inc., 1993-|1993-||Author 1993- Richard F. Thompson.|Continues: International travel immunizations.||
WC MW6 Y43 19uu- Bar B(1985)|Yellow-fever vaccinating centres for international travel. Centres de vaccination contre la fievre jaune pour les voyages internationaux.|Yellow Fever -- Prevention and control. Yellow fever -- Vaccination. Preventive Health Services. Vaccination. Vaccination centers.|World Health Organization.|v. 24 cm.|Geneve, World Health Organization.|||Order of title varies. English and French.||Centres de vaccination contre la fievre jaune pour les voyages internationaux.|
x F869.S3.3 S3 no.10 Bound 19:9(Oct 29, 1904)|Pocket San Francisco; a journal of travel, hotel, amusement and sporting news; guide with maps.|San Francisco (Calif.) -- Guidebooks.||47 p. ill., map. 15 cm.|[San Francisco?]|||Cover-title.|||
Z 3009 H36 108-124, 126-129, 133|Oriental and travel supplement.|Catalogs, Booksellers' -- Great Britain. Asia -- Study and teaching -- Bibliography -- Catalogs.|W. Heffer & Sons.||Cambridge.|no. 1-|||||
